,Code,Rank,University,URL,Address,Lat,Lon
101,DE,164,University of Bayreuth,https://www.timeshighereducation.com/world-university-rankings/university-bayreuth,"Universitätsstraße 30, 95440 Bayreuth, Germany",49.92629,11.587
102,BE,164,University of Liège,https://www.timeshighereducation.com/world-university-rankings/university-liege,"Place du 20-Août 7, Liege, 4000, Belgium",50.64078,5.57634
103,DE,164,University of Stuttgart,https://www.timeshighereducation.com/world-university-rankings/university-stuttgart,"Keplerstraße 7, Stuttgart, 70174, Germany",48.78156,9.17473
104,IT,164,University of Milan,https://www.timeshighereducation.com/world-university-rankings/university-milan,"Via Festa del Perdono 7, Milano, 20122, Italy",45.46036,9.19399
105,IT,164,University of Milan-Bicocca,https://www.timeshighereducation.com/world-university-rankings/university-milan,"Via Festa del Perdono 7, Milano, 20122, Italy",45.46036,9.19399
106,EL,164,University of Crete,https://www.timeshighereducation.com/world-university-rankings/university-crete,"Rethymnon, Crete, 74100, Greece",35.31655,24.50966
107,FR,164,Aix-Marseille University,https://www.timeshighereducation.com/world-university-rankings/aix-marseille-university,"Jardin du Pharo, 58, bd Charles Livon, Marseille, 13284, France",43.29215,5.35912
108,FR,164,Grenoble Alpes University,https://www.timeshighereducation.com/world-university-rankings/grenoble-alpes-university,"621 Central Avenue, Saint Martin d'Heres, 38400, France",45.18366,5.75224
109,FR,164,IMT Atlantique,https://www.timeshighereducation.com/world-university-rankings/imt-atlantique,"4, rue Alfred Kastler, La Chantrerie, Nantes, Cedex 3, 20722, France",47.28195,-1.52002
110,FR,164,Université de Versailles Saint-Quentin-en-Yvelines,https://www.timeshighereducation.com/world-university-rankings/universite-de-versailles-saint-quentin-en-yvelines,"55 avenue de Paris, Versailles, 78035, France",48.79955,2.14153
111,PT,164,NOVA University of Lisbon,https://www.timeshighereducation.com/world-university-rankings/nova-university-lisbon,"Campus de Campolide, 1099-085 Lisboa, Portugal",38.7339,-9.15997
112,PT,164,Catholic University of Portugal,https://www.timeshighereducation.com/world-university-rankings/catholic-university-portugal,"Palma de Cima, 1649-023 Lisbon, Portugal",38.74784,-9.16717
113,FI,164,University of Turku,https://www.timeshighereducation.com/world-university-rankings/university-turku,"Turku, 20014, Finland",60.4528,22.25155
114,FI,164,Lappeenranta-Lahti University of Technology LUT,https://www.timeshighereducation.com/world-university-rankings/lappeenranta-lahti-university-technology-lut,"Yliopistonkatu 34, Lappeenranta, 53850, Finland",61.0137,28.15952
115,AT,164,University of Innsbruck,https://www.timeshighereducation.com/world-university-rankings/university-innsbruck,"Innrain 52, A-6020 Innsbruck, Austria",47.26292,11.38442
116,BE,164,Hasselt University,https://www.timeshighereducation.com/world-university-rankings/hasselt-university,"Martelarenlaan 42, 3500 Hasselt, Belgium",50.93364,5.34233
117,IT,164,Polytechnic University of Milan,https://www.timeshighereducation.com/world-university-rankings/university-milan,"Via Festa del Perdono 7, Milano, 20122, Italy",45.46036,9.19399
118,IT,192,University of Bari Aldo Moro,https://www.timeshighereducation.com/world-university-rankings/university-bari-aldo-moro,"Piazza Umberto I, Bari, 70121, Italy",41.12001,16.8708
119,ES,192,CEU Universities,https://www.timeshighereducation.com/world-university-rankings/ceu-universities,"C/ Isaac Peral, Madrid, 58 - 28040, Spain",40.44215,-3.71859
120,PT,192,University of Porto,https://www.timeshighereducation.com/world-university-rankings/university-porto,"Praça Gomes Teixeira, Porto, 4099-002, Portugal",41.1473723,-8.6151288
121,AT,192,TU Wien,https://www.timeshighereducation.com/world-university-rankings/tu-wien,"Karlsplatz 13, 1040 Vienna, Austria",48.19898,16.3699
122,EL,192,National and Kapodistrian University of Athens,https://www.timeshighereducation.com/world-university-rankings/national-and-kapodistrian-university-athens,"30 Panepistimiou Ave, 106 79 Athens, Greece",37.9805689,23.7329373
123,IT,192,Verona University,https://www.timeshighereducation.com/world-university-rankings/verona-university,"Via dell'Artigliere 8, Verona, 37129, Italy",45.43855,11.00403
124,IT,192,University of Sannio,https://www.timeshighereducation.com/world-university-rankings/university-sannio,"Piazza Guerrazzi, Benevento, 82100, Italy",41.12995,14.78553
125,IT,192,University of Salerno,https://www.timeshighereducation.com/world-university-rankings/university-salerno,"Via Giovanni Paolo II, 132, Fisciano Salerno, 84084, Italy",40.77727,14.78501
126,IT,192,University of Rome II – Tor Vergata,https://www.timeshighereducation.com/world-university-rankings/university-rome-ii-tor-vergata,"Via Cracovia snc, Rome, 00133, Italy",41.85156,12.62991
127,IT,192,Polytechnic University of Bari,https://www.timeshighereducation.com/world-university-rankings/polytechnic-university-bari,"Via Giovanni Amendola, 126/B, Bari, 70126, Italy",41.11163,16.88271
128,HU,192,Semmelweis University,https://www.timeshighereducation.com/world-university-rankings/semmelweis-university,"Ülloi út 26, H - 1085 Budapest, Hungary",47.48715,19.06738
129,SE,192,Linköping University,https://www.timeshighereducation.com/world-university-rankings/linkoping-university,"Linkoping, SE-581 83, Sweden",58.41109,15.62565
130,IT,192,University of Pisa,https://www.timeshighereducation.com/world-university-rankings/university-pisa,"Lungarno Pacinotti 43, Pisa, 56126, Italy",43.71665,10.39882
131,IT,192,University of Pavia,https://www.timeshighereducation.com/world-university-rankings/university-pavia,"Strada Nuova 65, Pavia, 27100, Italy",45.18675,9.15586
132,IT,192,University of Naples Federico II,https://www.timeshighereducation.com/world-university-rankings/university-naples-federico-ii,"Corso Umberto I 40, Napoli, 80138, Italy",40.84525,14.25771
133,IT,192,University of Modena and Reggio Emilia,https://www.timeshighereducation.com/world-university-rankings/university-modena-and-reggio-emilia,"Via Università 4, Modena, 41121, Italy",44.64435,10.92815
134,ES,192,University of Valencia,https://www.timeshighereducation.com/world-university-rankings/university-valencia,"Avda. Blasco Ibáñez 13, Valencia, 46010, Spain",39.4793,-0.36413
135,IT,192,Free University of Bozen-Bolzano,https://www.timeshighereducation.com/world-university-rankings/free-university-bozen-bolzano,"Piazza Universita, 1, Bozen-Bolzano, 39100, Italy",46.49849,11.35073
136,IT,192,University of Florence,https://www.timeshighereducation.com/world-university-rankings/university-florence,"P.zza S.Marco 4, Firenze, Florence, 50121, Italy",43.77782,11.25944
137,IT,192,University of Brescia,https://www.timeshighereducation.com/world-university-rankings/university-brescia,"Piazza del Mercato, 15, Brescia, 25121, Italy",45.53785,10.21769
138,IT,192,University of Turin,https://www.timeshighereducation.com/world-university-rankings/university-turin,"Via Giuseppe Verdi 8, Turin, 10124, Italy",45.0691567,7.6900353
139,IT,192,University of Genoa,https://www.timeshighereducation.com/world-university-rankings/university-genoa,"Via Balbi, 5, Genova, 16126, Italy",44.41485,8.92662
140,IT,192,University of Siena,https://www.timeshighereducation.com/world-university-rankings/university-siena,"via Banchi di Sotto 55, Siena, 53100, Italy",43.31914,11.33277
141,FR,192,University of Bordeaux,https://www.timeshighereducation.com/world-university-rankings/university-bordeaux,"146 rue Léo Saignat, S 61292, Bordeaux, 33 076, France",44.82704,-0.60078
142,FI,192,University of Jyväskylä,https://www.timeshighereducation.com/world-university-rankings/university-jyvaskyla,"PO Box 35, FI-40014, Finland",60.30898,25.39256
143,FI,192,University of Eastern Finland,https://www.timeshighereducation.com/world-university-rankings/university-eastern-finland,"Yliopistokatu 2 P.O. Box 111, FI-80101 Joensuu, Finland",62.60361,29.74763
144,FR,192,Centrale Nantes,https://www.timeshighereducation.com/world-university-rankings/centrale-nantes,"1 rue de la Noë, Nantes, Pays de la Loire, 44321, France",47.2482139,-1.5508602
145,FR,192,Federal University of Toulouse Midi-Pyrénées,https://www.timeshighereducation.com/world-university-rankings/federal-university-toulouse-midi-pyrenees,"41 Allées Jules Guesde, 31013 Toulouse, France",43.59501,1.45131
146,FR,192,L’institut Agro,https://www.timeshighereducation.com/world-university-rankings/linstitut-agro,"42 Rue Scheffer, Paris, 75116, France",48.8625,2.28159
147,DE,192,University of Bremen,https://www.timeshighereducation.com/world-university-rankings/university-bremen,"Bibliothekstraße 1, Bremen, 28359, Germany",53.10609,8.85241
148,CZ,192,Charles University in Prague,https://www.timeshighereducation.com/world-university-rankings/charles-university-prague,"Ovocný trh 3-5, Prague 1, 116 36, Czech Republic",50.08658,14.42478
149,DE,192,TU Dortmund University,https://www.timeshighereducation.com/world-university-rankings/tu-dortmund-university,"August-Schmidt-Straße 4, Dortmund, 44227, Germany",51.48443,7.41402
150,DE,192,Justus Liebig University Giessen,https://www.timeshighereducation.com/world-university-rankings/justus-liebig-university-giessen,"Ludwigstraße 23, 35390 Giessen, Germany",50.58053,8.67705
151,FR,245,Télécom SudParis,https://www.timeshighereducation.com/world-university-rankings/telecom-sudparis,"9 rue Charles Fourier, Evry, 91011, France",48.62424,2.44478
152,IT,245,University of Catania,https://www.timeshighereducation.com/world-university-rankings/university-catania,"Piazza Università, 2, Catania, 95131, Italy",37.5039,15.08735
153,IT,245,University of Ferrara,https://www.timeshighereducation.com/world-university-rankings/university-ferrara,"via Ludovico Ariosto, 35, Ferrara, 44121, Italy",44.8422,11.61619
154,FR,245,Sciences Po,https://www.timeshighereducation.com/world-university-rankings/sciences-po,"27 Rue Saint Guillaume, 75337 Paris, France",48.85413,2.3284
155,IT,245,University of Messina,https://www.timeshighereducation.com/world-university-rankings/university-messina,"Piazza Pugliatti, 1, Messina, 98122, Italy",38.18915,15.55237
156,IT,245,Polytechnic University of Turin,https://www.timeshighereducation.com/world-university-rankings/polytechnic-university-turin,"Corso Duca degli Abruzzi 24, Torino, 10129, Italy",45.06244,7.66234
157,IT,245,University of Sassari,https://www.timeshighereducation.com/world-university-rankings/university-sassari,"Piazza Università 21, Sassari, Italy",40.72499,8.55992
158,IT,245,University of Trieste,https://www.timeshighereducation.com/world-university-rankings/university-trieste,"Piazzale Europa 1, Trieste, 34127, Italy",45.65871,13.79335
159,IT,245,University of Tuscia,https://www.timeshighereducation.com/world-university-rankings/university-tuscia,"Via S.M. in Gradi n.4, Viterbo, 01100, Italy",42.41321,12.11185
160,IT,245,University of Urbino Carlo Bo,https://www.timeshighereducation.com/world-university-rankings/university-urbino-carlo-bo,"Via Aurelio Saffi 2, Urbino, 61029, Italy",43.72326,12.63685
161,PT,245,University of Lisbon,https://www.timeshighereducation.com/world-university-rankings/university-lisbon,"Alameda da Universidade Cidade Universitária, 1649 - 004 Lisboa, Portugal",38.75247,-9.15896
162,ES,245,Complutense University of Madrid,https://www.timeshighereducation.com/world-university-rankings/complutense-university-madrid,"Avda. de Séneca, 2, Ciudad Universitaria, Madrid, 28040, Spain",40.43694,-3.72474
163,IT,245,University of L’Aquila,https://www.timeshighereducation.com/world-university-rankings/university-laquila,"Palazzo Camponeschi, 2 Piazza Santa Margherita, L'Aquila, Abruzzo, 67100, Italy",42.35145,13.39772
164,FR,245,Claude Bernard University Lyon 1,https://www.timeshighereducation.com/world-university-rankings/claude-bernard-university-lyon-1,"43 Blvd du 11 Novembre 1918, 69622 Villeurbanne cedex, Lyon, France",45.7791,4.86573
165,PL,245,Jagiellonian University,https://www.timeshighereducation.com/world-university-rankings/jagiellonian-university,"ul. Golebia 24, Krakow, 31-007, Poland",50.0609578,19.9334482
166,FR,245,CentraleSupélec,https://www.timeshighereducation.com/world-university-rankings/centralesupelec,"Plateau de Moulon, 3 rue Joliot-Curie, F-91192 Gif-sur-Yvette, France",48.70961,2.16401
167,AT,245,Graz University of Technology,https://www.timeshighereducation.com/world-university-rankings/graz-university-technology,"Rechbauerstraße 12, 8010 Graz, Austria",47.06818,15.4494
168,FR,245,University of Côte d’Azur,https://www.timeshighereducation.com/world-university-rankings/university-cote-dazur,"Grand Château 28, avenue Valrose, BP 2135, Nice cedex 2, 06103, France",43.71824,7.26678
169,DE,245,Leibniz University Hannover,https://www.timeshighereducation.com/world-university-rankings/leibniz-university-hannover,"Welfengarten 1, Hannover, D-30167, Germany",52.38224,9.71776
170,IT,245,University of Insubria,https://www.timeshighereducation.com/world-university-rankings/university-insubria,"Via Ravasi, 2, Varese, Lombardia, 21100, Italy",45.81466,8.82792
171,CY,245,University of Cyprus,https://www.timeshighereducation.com/world-university-rankings/university-cyprus,"1 Panepistimiou Avenue, Aglantzia, Nicosia, Cyprus",35.14285,33.40549
172,FR,245,University of Strasbourg,https://www.timeshighereducation.com/world-university-rankings/university-strasbourg,"4 rue Blaise Pascal CS 90032, F-67081 Strasbourg cedex, France",48.58071,7.76657
173,CZ,279,Palacký University Olomouc,https://www.timeshighereducation.com/world-university-rankings/palacky-university-olomouc,"8 Krízkovskeho, Olomouc, 771 47, Czech Republic",49.59513,17.25922
174,FR,279,University of Lorraine,https://www.timeshighereducation.com/world-university-rankings/university-lorraine,"34 cours Léopold, CS 25233, Nancy, 54052, France",48.69615,6.1766
175,FR,279,University of Nantes,https://www.timeshighereducation.com/world-university-rankings/university-nantes,"1, quai de Tourville, BP 13522, Nantes, 44035, France",47.2094,-1.55589
176,FR,279,National Institute of Applied Sciences of Lyon (INSA Lyon),https://www.timeshighereducation.com/world-university-rankings/national-institute-applied-sciences-lyon-insa-lyon,"20 avenue Albert Einstein, 69621 Villeurbanne, France",45.7834949,4.8786717
177,MT,279,University of Malta,https://www.timeshighereducation.com/world-university-rankings/university-malta,"Msida MSD 2080, Malta",35.89919,14.48813
178,FR,279,Panthéon-Sorbonne University – Paris 1,https://www.timeshighereducation.com/world-university-rankings/pantheon-sorbonne-university-paris-1,"12 place du Panthéon, 75231 Paris, France",48.8468,2.34488
179,EL,279,University of Ioannina,https://www.timeshighereducation.com/world-university-rankings/university-ioannina,"P.O. Box 1186, 45110 Ioannina, Greece",39.66858,20.85638
180,FR,279,University of Lille,https://www.timeshighereducation.com/world-university-rankings/university-lille,"42, rue Paul Duez, Lille, 59000, France",50.63179,3.07526
181,EL,279,National Technical University of Athens,https://www.timeshighereducation.com/world-university-rankings/national-technical-university-athens,"Heroon Polytechniou 9, 15780 Zografou, Greece",37.9785993,23.7734851
182,ES,279,University of the Balearic Islands,https://www.timeshighereducation.com/world-university-rankings/university-balearic-islands,"Cra. de Valldemossa, Palma, Baleares, 07122, Spain",39.64081,2.64879
183,LV,279,University of Latvia,https://www.timeshighereducation.com/world-university-rankings/university-latvia,"Raina bulvaris 19, Riga, LV 1586, Latvia",56.95063,24.11578
184,ES,279,University of Deusto,https://www.timeshighereducation.com/world-university-rankings/university-deusto,"Avenida de las Universidades,, 24, Bizkaia, 48007, Spain",43.2703,-2.93716
185,IT,279,University of Udine,https://www.timeshighereducation.com/world-university-rankings/university-udine,"Via Palladio 8, Udine, 33100, Italy",46.06629,13.23273
186,IT,279,University of Salento,https://www.timeshighereducation.com/world-university-rankings/university-salento,"Piazza Tancredi, Lecce (LE), 73100, Italy",40.34969,18.16735
187,CZ,279,Masaryk University,https://www.timeshighereducation.com/world-university-rankings/masaryk-university,"Žerotínovo námestí 9 Rektorát, Brno-mesto, Brno, Czech Republic",49.19883,16.60523
188,EL,279,University of Thessaly,https://www.timeshighereducation.com/world-university-rankings/university-thessaly,"Argonafton & Filellinon, 38221 Volos, Greece",39.35707,22.9509
189,EL,279,Athens University of Economics and Business,https://www.timeshighereducation.com/world-university-rankings/athens-university-economics-and-business,"76, Patission Str., GR10434 Athens, Greece",37.97614,23.7364
190,AT,279,Johannes Kepler University of Linz,https://www.timeshighereducation.com/world-university-rankings/johannes-kepler-university-linz,"Altenberger Straße 69, A-4040 Linz, Austria",48.33733,14.32256
191,AT,279,University of Graz,https://www.timeshighereducation.com/world-university-rankings/university-graz,"Universitätsplatz 3, A - 8010 Graz, Austria",47.0776,15.44954
192,DE,279,Hamburg University of Technology,https://www.timeshighereducation.com/world-university-rankings/hamburg-university-technology,"Am Schwarzenberg, Hamburg, 21073, Germany",53.46383,9.96976
193,DE,279,University of Kaiserslautern,https://www.timeshighereducation.com/world-university-rankings/university-kaiserslautern,"Gottlieb-Daimler-Strasse, Kaiserslautern, 67663, Germany",49.42259,7.75349
194,PT,279,University of Aveiro,https://www.timeshighereducation.com/world-university-rankings/university-aveiro,"3810-193 Aveiro, Portugal",40.63413,-8.65799
195,PT,279,University of Beira Interior,https://www.timeshighereducation.com/world-university-rankings/university-beira-interior,"Convento de Sto. Antonio, 6201-001 Covilha, Portugal",40.19977,-7.54486
196,PT,279,University of Coimbra,https://www.timeshighereducation.com/world-university-rankings/university-coimbra,"Paço das Escolas, Coimbra, 3004-531, Portugal",40.31425,-8.75085
